Player,Rounds Played,Rating,Average Combat Score,Kills/Deaths,"Kills, Assists, Trades, Survive %",Average Damage/Round,Kills/Round,Assits/Round,First Kills/Round,First Deaths/Round,Headshot %,Clutch Sucess %
"AAAAY
FPX",115,0.97,181.8,1.05,68%,122.8,0.7,0.17,0.08,0.05,31%,6%
"Alfajer
FNC",293,1.09,209.7,1.11,73%,145.3,0.75,0.23,0.09,0.07,32%,19%
"aspas
LEV",407,1.14,220.5,1.19,74%,146.9,0.8,0.17,0.15,0.1,28%,16%
"AtaKaptan
FUT",88,0.8,160.8,0.75,64%,106.3,0.53,0.34,0.05,0.1,24%,
"Autumn
FPX",115,1.08,211.8,1.12,71%,134.5,0.75,0.23,0.17,0.1,32%,15%
"ban
TLN",85,0.98,184,1.04,72%,118.5,0.68,0.2,0.08,0.08,38%,8%
"benjyfishy
TH",552,0.96,190.3,1.02,69%,127.9,0.7,0.18,0.08,0.12,36%,16%
"BerLIN
FPX",115,0.96,178.6,0.92,69%,118.5,0.62,0.36,0.1,0.08,26%,7%
"BeYN
DRX",238,0.95,175.6,0.97,73%,115.2,0.64,0.26,0.05,0.09,25%,28%
"Biank
TE",208,0.82,165.5,0.78,64%,106.9,0.54,0.34,0.1,0.11,16%,35%
"Boaster
FNC",293,0.71,122.2,0.68,70%,76.9,0.43,0.32,0.06,0.12,25%,14%
"Boo
TH",552,0.98,180.2,0.95,74%,113.8,0.64,0.38,0.08,0.06,31%,14%
"BuZz
T1",238,1.01,241.3,1.11,68%,149.7,0.83,0.17,0.22,0.2,23%,17%
"C0M
LEV",407,0.98,192.8,0.95,70%,136.3,0.64,0.27,0.08,0.08,25%,14%
"ceNder
VIT",151,0.88,167,0.9,68%,108.4,0.64,0.32,0.07,0.15,29%,7%
"CHICHOO
EDG",449,1.18,221.5,1.24,76%,144.5,0.79,0.29,0.11,0.06,29%,16%
"Chronicle
FNC",293,1.21,224.4,1.23,73%,153.8,0.77,0.29,0.13,0.07,26%,12%
"cNed
FUT",88,0.99,222.3,0.99,67%,151.4,0.77,0.13,0.18,0.14,25%,
"Crws
TLN",85,0.51,133.8,0.57,61%,91.2,0.45,0.24,0.05,0.14,19%,17%
"d4v41
PRX",140,0.93,181,0.87,72%,125,0.64,0.27,0.05,0.07,32%,20%
"Derke
FNC",293,1.22,257.4,1.33,72%,167,0.92,0.18,0.17,0.14,24%,27%
"f0rsakeN
PRX",140,0.95,181.9,0.93,68%,121.9,0.67,0.3,0.05,0.11,37%,19%
"FengF
TE",208,0.95,203.1,1.02,67%,132.4,0.71,0.1,0.13,0.14,29%,15%
"Flashback
DRX",238,1.04,202.3,1.16,76%,133.4,0.74,0.23,0.1,0.05,30%,18%
"Flex1n
BLG",78,0.93,182.5,0.83,73%,126.7,0.64,0.32,0.1,0.08,36%,15%
"Foxy9
DRX",238,0.93,180.3,0.93,71%,119.6,0.64,0.41,0.05,0.09,29%,15%
"Governor
TLN",85,0.75,183.3,0.76,62%,120.2,0.59,0.25,0.12,0.18,20%,
"heat
KRÜ",156,1.03,191.4,1.09,74%,123.3,0.73,0.26,0.06,0.04,33%,9%
"heybay
TE",208,0.86,163.3,0.79,74%,108.9,0.56,0.4,0.06,0.08,25%,9%
"hiro
FNC",293,0.98,185.2,1.02,73%,118.8,0.66,0.28,0.06,0.08,28%,16%
"icy
G2",200,0.93,183.2,0.88,67%,124.5,0.65,0.21,0.12,0.13,30%,19%
"Jinggg
PRX",140,0.91,209.7,0.88,69%,137.2,0.67,0.35,0.12,0.23,18%,18%
"JitBoyS
TLN",85,0.76,181.8,0.72,72%,118,0.59,0.22,0.14,0.07,35%,11%
"johnqt
SEN",361,1,162.2,1.01,74%,106.9,0.59,0.28,0.07,0.06,24%,18%
"JonahP
G2",200,0.88,183.8,0.83,66%,117.1,0.63,0.28,0.09,0.12,23%,13%
"Kai
TE",208,1.1,213.9,1.1,70%,145.8,0.76,0.17,0.14,0.13,29%,4%
"Karon
GEN",153,0.99,180.4,1,73%,114.8,0.67,0.42,0.07,0.07,32%,19%
"keznit
KRÜ",156,1.18,250.8,1.16,76%,170.7,0.83,0.33,0.14,0.08,23%,13%
"Kicks
VIT",151,1.05,187.1,0.92,72%,120.2,0.63,0.5,0.06,0.07,24%,22%
"kiNgg
LEV",407,1.04,185.1,1.04,75%,120.2,0.67,0.36,0.08,0.07,32%,17%
"Knight
BLG",78,0.8,147.3,0.67,64%,96.5,0.51,0.42,0.03,0.06,29%,8%
"Lakia
GEN",153,0.61,118.3,0.56,69%,79.5,0.39,0.3,0.05,0.09,23%,25%
"leaf
G2",200,0.97,202.7,0.93,69%,138.5,0.7,0.19,0.14,0.1,21%,11%
"Life
FPX",115,0.71,175.8,0.78,61%,116.3,0.6,0.14,0.13,0.22,32%,13%
"LuoK1ng
TE",208,1.04,201.6,1.1,74%,131.3,0.75,0.35,0.07,0.04,33%,
"Lysoar
WOL",115,0.85,166.6,0.78,70%,118.7,0.57,0.37,0.04,0.04,20%,13%
"MaKo
DRX",238,1.02,192.7,0.99,77%,124.9,0.66,0.4,0.07,0.08,27%,17%
"Mazino
LEV",407,0.95,194.8,0.94,70%,125.6,0.69,0.36,0.09,0.09,27%,18%
"Melser
KRÜ",156,0.91,178.6,0.86,69%,114.5,0.6,0.3,0.1,0.13,31%,15%
"Meteor
T1",153,1.17,241.1,1.32,71%,160.7,0.9,0.17,0.11,0.1,37%,16%
"mindfreak
PRX",140,1.06,210.1,1.04,78%,134.4,0.74,0.41,0.05,0.04,31%,19%
"MiniBoo
TH",552,0.97,206,0.99,69%,134.5,0.72,0.18,0.16,0.16,30%,14%
"MrFaliN
FUT",88,0.78,172.8,0.75,70%,113.3,0.56,0.35,0.06,0.09,25%,13%
"mta
KRÜ",156,0.88,173.9,0.87,71%,115.3,0.62,0.27,0.1,0.09,32%,8%
"Munchkin
GEN",153,0.95,191.6,0.84,78%,127.3,0.6,0.49,0.1,0.08,24%,8%
